SYMBOL	foldChange
FBXL5	-0.380845984
PEA15	-0.531334075
PRKCH	-0.692523394
HLA.DPA1	-1.222168435
GIMAP7	-0.935738195
EVI2B	-1.009083964
RIPK3	-0.901973455
DAB2	-0.7226081
ARF5	-0.397376668
SFPQ	0.51617402
DOCK2	-0.876909746
SLAMF8	-1.10339139
TNFRSF1A	-0.537596932
HLA.DRA	-1.194393138
IGSF6	-0.857152125
SAP30	0.774637537
GIMAP8	-0.844720431
GPX1	-0.597423253
HLA.E	-0.648279998
NCF4	-1.003752732
BTAF1	0.621553063
TBXAS1	-0.846479293
LY96	-0.791511044
VAV1	-0.896344829
SUPV3L1	0.460547356
IGFBP4	-0.893954908
GYPC	-0.723670989
FUCA1	-0.687598045
GBP2	-0.993465601
RENBP	-0.96242715
CTNNBIP1	-0.503498667
IFT74	0.624977135
KIAA1958	0.753016053
CD40	-0.796599378
GLIPR1	-0.8535964
LST1	-0.978985742
RAMP3	-1.110214765
TYROBP	-1.053676879
MXI1	0.540465611
VAMP5	-0.746515022
IRF5	-0.769977249
IGFBP7	-0.67018351
WAS	-0.898278301
LAIR1	-0.874496977
P2RY8	-0.715168262
PARP3	-0.479188556
LYL1	-0.723435984
PTMA	0.93352423
MYO1F	-0.717412777
TEX264	-0.415990729
NIPA1	0.783163242
TMEM9B	-0.380246389
PLS1	1.165745922
APOL3	-0.956829387
CORO1A	-0.832546702
GPSM3	-0.732071403
CTSS	-0.911716134
KLF4	0.798760313
KCNJ5	-0.781424532
GRAP	-0.799154848
APOE	-1.123853948
FDFT1	0.566555712
SMARCA4	0.468591421
NPL	-0.642189733
NFKB1	-0.504341746
ASPM	0.700999221
FGL2	-1.023272782
STAT5A	-0.573733762
CARD11	-0.806230868
PCDH12	-0.656648235
DOK3	-0.633134923
HCLS1	-0.793551671
FOLR2	-1.067410013
LRP8	0.612069856
EBI3	-1.171865784
MPEG1	-0.963812428
UBE2L6	-0.678991288
ZNF273	0.59537138
ELK3	-0.414666703
CIITA	-0.790232008
SFXN1	0.455441233
CYBB	-1.050492134
RGS18	-0.907344616
AGPAT5	0.788842332
ENTPD1	-0.470566869
ARPC4	-0.409768466
SNX4	0.570063085
ALOX5AP	-1.039599423
FCGR2A	-0.873802632
GALM	-0.660719524
CD5	-1.11173354
TLR7	-1.097911621
NPM1	0.723275707
ZCCHC8	0.327934756
CD6	-0.820116819
PDE1B	-0.858356574
FES	-0.520015433
BIN2	-0.763653768
PGAM4	0.926041954
TEK	-0.853223209
WAC	0.349580128
HK2	0.806194301
RNASE6	-0.955512597
CD37	-0.785768251
ARHGAP30	-0.688644294
PLEK	-0.836831404
SIGLEC9	-0.834755381
ARHGAP4	-0.7736422
PARVA	-0.410912002
RBM34	0.696073394
SAR1A	0.63907422
TNFSF12	-0.637407017
CEBPA	-0.809092309
CXCR6	-1.003484237
UCHL5	0.424267446
TAX1BP3	-0.532232996
TFEC	-0.888209975
PLEKHO1	-0.501843375
RAB11FIP4	1.078464605
PNN	0.545005214
THSD1	-0.757389611
MGA	0.379950541
RPS28	0.825566134
PLEKHA1	0.516175432
SLA2	-0.889664688
FBLIM1	-0.569794698
SERTAD1	-0.521852995
CCL28	0.823159716
TCN2	-0.708001841
ITGAM	-0.843268709
NMD3	0.538430781
LAPTM5	-0.944967213
RTP4	-1.053619787
HLA.DQA1	-1.166106304
NECAP2	-0.304606625
PIK3R5	-0.748998592
ESCO1	0.367568641
AOAH	-0.950734177
C10orf88	0.403619579
KHDRBS1	0.319285965
GBP4	-0.972886222
PECAM1	-0.616894029
GBP1	-1.037946885
PPFIA4	0.887676749
IL13RA1	-0.519963498
ESPN	1.289297483
IL32	-0.92497706
IRF8	-0.862828784
C3AR1	-0.827672938
TM4SF1	-0.777399451
P2RY13	-1.111320446
FUBP3	0.370261527
ACVRL1	-0.447357535
PDE4C	0.858480693
GZMH	-1.393859437
UAP1	0.686886858
APOL2	-0.509591522
CD209	-0.888480763
PMS1	0.464066054
TCEA3	0.765938574
EIF2AK3	0.485061644
KIF14	0.557374266
SMNDC1	0.527122669
SOD3	-1.119634434
CD200R1	-0.809649257
IL3RA	-0.494686018
CLEC14A	-0.680597924
CD48	-0.975553137
NBEAL1	0.507329245
ZBTB41	0.481391389
PILRA	-0.686009068
ZNF680	0.538199853
CD2	-1.272018956
P4HA3	-1.13679296
BTN3A1	-0.523580558
SP140	-0.793025768
BTK	-0.768185675
CSF1R	-1.048492749
USP2	0.737316097
MANBA	-0.572289526
CAV1	-0.805584124
MYD88	-0.374745919
RHOG	-0.490734235
ABCB6	0.608813983
CD99L2	-0.48446026
F13A1	-1.202338578
ESCO2	0.580123233
PSMB10	-0.587086266
FCN3	-0.742954424
KCNH3	1.028764399
MS4A7	-0.910488363
NAGK	-0.385295038
TPST2	-0.544621452
ADNP	0.347534843
DHX15	0.421740747
NAGPA	-0.498827659
DLX2	1.106763621
HCST	-1.031986753
KBTBD11	0.826126429
TIAM2	0.588841386
LSM14B	0.334386141
SART3	0.260473518
GNPTG	-0.398146334
CPM	-0.577519188
TAPBPL	-0.654128852
OLFML2B	-0.888033398
TRIM22	-0.860856368
TAGLN	-0.922178925
SYCP2	0.911658454
SUMF1	-0.49640639
USF1	-0.372276807
AKR7A3	0.5594813
GNA15	-0.901796782
PIK3C3	0.422479467
SNAPC3	0.485376817
DDX21	0.443807383
LAT2	-0.744047261
YEATS2	0.356094086
CHORDC1	0.527118497
USP4	-0.292444921
GPR161	-0.566709414
PTGS1	-0.685028315
LTB	-1.001501155
TLR6	-0.604920256
FAM76B	0.43619973
CAV2	-0.63253848
ARHGAP27	-0.52511761
HK3	-0.831720789
LMNB1	0.487728795
FAP	-1.1718262
GAS6	-0.756267249
ZC3H8	0.467919551
PTK2B	-0.650981448
TRIT1	0.456795917
PRKRA	0.521607081
ITGB2	-0.825285779
SDC1	-0.726583234
PPP1R16B	-0.685142836
PLCB2	-0.72100126
CCL8	-1.356428681
MYL6	-0.384282634
ZYX	-0.465939469
APOL1	-0.959893173
SLC16A1	0.415730174
B3GALNT2	0.437854342
COL9A3	1.581770382
CD82	-0.805216018
ROBO4	-0.583456898
FDPS	0.453288065
IDI1	0.430206545
CCDC58	0.484654922
MIB1	0.401599933
GSTK1	-0.376152735
CCL5	-1.010861052
CHD1	0.558141926
RUFY2	0.358954621
THY1	-0.765301454
BCL7A	0.539479752
BATF	-1.090403856
LUC7L2	0.328691059
KLHL5	-0.436305808
SELPLG	-0.776525445
FAM72A	0.603779077
RNF138	0.417524472
MSR1	-0.736843965
RBM15	0.348381276
MYCT1	-0.637423505
UBE4A	0.562500575
SP4	0.430448544
SF1	0.235846001
R3HDM1	0.341662861
NAGA	-0.340453791
LRMP	-0.705229807
SAMD1	0.388310473
GTF3C3	0.378783962
IGFBP6	-0.849056912
ZNF431	0.406201938
ARHGAP9	-0.779693677
SIRPB2	-0.729987501
VPS18	-0.341094668
ZBTB11	0.377272638
SLC36A4	0.549108491
ZNF675	0.430291507
TLK1	0.404623404
CXCR3	-1.039248394
GTF2IP1	0.616961577
ARHGEF15	-0.589009213
SNRPE	0.401540864
GOLGB1	0.492593991
CBS	1.045622955
PTPN7	-0.723951272
GCNT2	-0.651471657
PLAA	0.372837926
INPP5D	-0.707046616
C1R	-0.89626761
HLA.DQB1	-1.026202319
MUC1	0.889088551
SCARF1	-0.593866824
DMXL1	0.37673709
PRKCD	-0.436542834
PTGES3	0.708635508
RASSF4	-0.753690438
BLNK	-0.770804799
OPRD1	0.974311756
CXCL12	-0.98696661
HTRA1	-0.870815507
STIL	0.532085868
ATP6V0D1	-0.38592611
IL12RB1	-0.766077222
PTAFR	-0.707950309
APAF1	0.388116138
ACTR6	0.374385442
DCTN5	-0.285674211
ENG	-0.456124968
TNFSF13B	-0.848385949
HSD3B7	-0.808358732
ELOVL5	0.610449485
PKIB	-0.923564727
TBC1D10C	-0.723375697
HCK	-0.669839007
ARHGEF3	-0.547635281
ATG7	-0.340880507
TAF5	0.327484141
CD59	-0.44514501
NUDCD2	0.497243826
ARL5B	0.400742337
C5AR1	-0.703855217
CTTNBP2NL	-0.352478372
EGLN1	0.384559821
GNAI1	0.667814025
CD300LF	-0.836280941
CDC37L1	0.447410464
LRRC57	0.35354185
SNX25	0.382927287
ANKRD22	-1.175062103
LTBP2	-0.919963496
SOX6	0.868014267
CMKLR1	-0.683601449
PLA2G4C	-0.631629766
MCTP1	-0.562268528
DCTN4	0.467846459
FGD2	-0.762866847
NUBP1	-0.319869993
ZNF708	0.397800562
ADAM11	0.859012716
ABI3	-0.604632445
ZNF121	0.345645019
FMO3	-1.170441728
BRI3	-0.42088959
CD33	-0.933117595
ARID4B	0.365380482
ACTA2	-1.065824529
ABI2	0.32448347
CXCL10	-1.33630935
SUMO4	0.672437494
ANP32A	0.35897431
KBTBD7	0.467649823
PHF11	-0.516640755
CDH5	-0.617986637
ANP32C	0.846605297
USP37	0.549565277
CCDC14	0.443552104
DLAT	0.416754319
OAZ2	-0.291160176
RNF2	0.308101422
DNASE1L1	-0.532205913
SMAD9	0.763811202
CHML	0.785519885
NANOS1	0.782739319
CLEC2B	-0.732016417
OAZ1	-0.301619705
MTO1	0.327189617
APOC1	-0.927626297
C1S	-1.105032499
NSUN2	0.364160813
YBX2	0.841903475
MCM10	0.450870506
ITGAL	-0.773244301
MBP	-0.677485533
PPP1CC	0.321522277
EEF1A2	1.736244574
DPEP2	-0.620513869
CYP2S1	-0.690786527
VPS13A	0.49951273
CTDSPL2	0.371241164
DENR	0.32758756
ITGB5	-0.532100018
CD163	-0.895090726
GTPBP8	0.421051541
GOLPH3	0.5106532
SDSL	-0.592730065
CDA	-0.774815298
GAL3ST4	-0.556981414
HCFC1	0.400413748
FPR1	-0.997802217
RRAS	-0.488134125
TNFSF8	-0.785255075
CD72	-0.677709258
PSTPIP1	-0.975531224
BRIP1	0.449866706
SP3	0.333797968
RHBDF1	-0.460948334
NRBP1	-0.281367557
AXL	-0.782362923
TNFSF4	-0.817465255
NGEF	1.281472819
CACHD1	0.652233769
TIE1	-0.594230969
COL2A1	1.792881447
HAT1	0.455259847
SH2D3C	-0.484781409
UBTD1	-0.445595134
PLAU	-0.78688917
TAF4B	0.571595873
CXCL16	-0.536861041
GNAI2	-0.320585383
TSPAN4	-0.420553679
HBS1L	0.363070084
AGL	0.421020424
AKT3	-0.661640811
NDUFB9	0.820459068
CLEC12A	-0.800118493
NFX1	0.317788163
MRPL42	0.301950719
CSF1	-0.753118081
LILRB1	-0.697307295
MSRB2	-0.368921073
LTBR	-0.5028851
ATCAY	0.417204542
MPV17	-0.371144972
PIK3CD	-0.655765849
CPSF6	0.201564842
WDR26	0.296969375
TPCN1	-0.349967504
COCH	1.663618864
MAPKAPK3	-0.408164011
ANXA5	-0.359103935
EPHA1	-0.494285182
LIMK1	-0.394190462
LILRB3	-0.694078781
CYP51A1	0.694362352
CPE	1.094577763
ARSK	0.360162029
DUSP23	-0.657870641
SLC16A5	-0.654075962
SCD	0.633497665
POLI	0.400894183
SYNJ1	0.412470125
STAG1	0.438513726
ZNF644	0.316815683
SNX6	-0.310253836
FADS2	0.67273888
PGAP1	0.52662701
ARRB1	-0.446443226
PROCR	-0.497652536
PSPC1	0.310485811
RFC4	0.401841635
CRYBB1	-0.699018716
RAPGEFL1	0.506739456
SERTAD3	-0.383601362
NFIL3	0.47533187
PYGO1	0.455303426
PPM1F	-0.28697361
UCP2	-0.636314315
CLDN5	-0.771390559
SKP2	0.397832081
ARL11	-0.732224161
SIGIRR	-0.530788377
TUBD1	0.384882624
PTPRE	-0.596515908
GPRC5A	1.096029929
IPO9	0.343821259
CHCHD7	-0.431054008
YEATS4	0.351907814
COMMD7	-0.352977204
EDNRA	-0.754129668
PPM1D	0.35193769
NEDD1	0.284238424
ZFYVE16	0.328956241
ATP2C1	0.320962794
RPL7A	0.446264667
GPI	0.501993041
CTNS	-0.376684352
ELF3	0.492799696
TNFRSF1B	-0.548829608
RAB31	-0.475890799
PODN	-0.92340013
PLXDC1	-0.716094905
KIF23	0.404061201
BRWD3	0.411828477
PLAC8L1	0.953822459
ZNF430	0.418581814
OSBPL8	0.571515684
LARP1	0.279921664
NKG7	-0.994456619
PRKCG	0.501639359
CDC7	0.469273601
CCL14	-0.96309832
SLC9A7	-0.702524709
GTPBP4	0.384019446
TPP1	-0.458448771
UQCRH	0.666490754
FAM78A	-0.486615086
ARHGEF4	1.076181312
IRF1	-0.538399894
LCP1	-0.766787811
SS18L2	-0.343726364
ARHGAP15	-0.715678426
IFNGR1	-0.382302091
CD38	-0.862829484
DENND2D	-0.586346125
CD34	-0.535066259
PTPN3	0.634291378
HLA.DRB1	-1.013184597
VAT1	-0.380429872
SLC37A2	-1.144497774
PIAS2	0.354882179
FBXW12	0.551234332
TIAL1	0.266504771
GDA	0.764506027
USP25	0.489084985
FHL5	-0.82919946
CD4	-0.752183797
UBE2T	0.514603354
GAB1	0.388746338
HOMER3	-0.419376076
DNAJC1	0.425968604
PARP12	-0.461682585
FCGR2B	-0.833619545
ANKRD26	0.434600978
CORO7	-0.467911039
CNOT8	0.39870516
GCSH	0.451002644
PHF21A	0.305622365
ZNF91	0.486760628
IQGAP2	-0.6094118
SAFB2	0.312973208
SLC43A2	-0.552445463
GAPVD1	0.313435453
CRHBP	-0.816439266
ESPNP	0.92586111
PSMB9	-0.678108803
PLD3	-0.377828237
TRIP12	0.513381332
SAMD8	0.291424027
SUPT4H1	-0.311673476
ARHGAP24	-0.526046462
RTBDN	0.77004454
IGSF21	-0.845386185
RPS6KA2	-0.429139907
LGMN	-0.403374853
COPS2	0.405119904
VENTX	-0.863950612
PROK2	1.242586332
UBE2E2	-0.52446024
TMTC2	0.714194627
YRDC	0.463022078
CCT6A	0.374667717
IFI30	-0.797140006
SCPEP1	-0.465710287
RNF146	-0.319666139
POLQ	0.454101517
WSB1	0.442562121
TK2	-0.394841695
RAVER1	0.424299051
NAPSB	-0.99634005
TXNIP	-0.596022807
ZNF236	0.38692745
TCP1	0.472887052
FGFR3	1.105103577
VMO1	-0.835577168
GNL2	0.318972592
ADD1	-0.311083917
HLA.A	-0.494692128
BAP1	-0.261993565
GAS2L2	0.557933364
CASKIN1	0.838113891
ATF1	0.332245728
VEGFC	-0.582923378
C11orf45	-0.539065772
OSGEPL1	0.416107047
BAG5	0.305425674
TUBGCP3	0.451864909
COL11A2	1.754654776
PRKD3	0.351760754
DOT1L	0.392111173
EXT1	-0.477543824
PSD4	-0.499646562
IL4R	-0.388805847
PMP2	0.836474576
PAPOLA	0.34991429
PTGS2	1.025002248
PHOSPHO2	0.563488084
RPS18	0.493898595
DCBLD2	-0.450137315
STARD10	-0.440778234
C1orf54	-0.555167495
CTSH	-0.64396306
PMAIP1	0.619017786
SUMO2	0.665574898
MME	-1.286882018
NICN1	-0.343692135
RAI14	-0.510925651
NIPBL	0.333723276
IQCC	0.398171887
PTPRJ	-0.489295276
TMEM97	0.507890807
MAP2K7	0.359505854
CLEC1A	-0.638544834
UHRF2	0.397482432
CSF2RB	-0.584859376
TIMP1	-0.619806366
E2F3	0.422911508
RAB4B	-0.474443878
MBNL2	0.400189136
POLD4	-0.39372519
TFPI	-0.633050082
ALOX5	-0.997084012
CCNL1	0.345936358
FAM81A	0.668310343
ACAA1	-0.339186969
CD2BP2	-0.312314557
ITGA5	-0.542861725
BMP7	1.279237237
STAC2	1.155206155
MLLT10	0.310159922
SEPHS1	0.292115348
RIOK3	0.272571287
ADAMTS18	1.368797967
CD84	-0.974008388
FAIM	0.402314842
NFXL1	0.348691939
NUDT21	0.3085408
TTC25	0.555128281
PKN2	0.392148664
ZNF366	-0.575375382
ALS2	0.360601534
S100A16	-0.695407307
CETP	-0.623781774
PHF3	0.404191973
CLEC3B	-0.752339118
MRPL44	0.312437691
SELL	-0.912310954
MFSD5	-0.284826883
TNFRSF14	-0.531996519
LOXL4	0.917526775
MAP3K6	0.421289105
TNFSF10	-0.825812235
PANX2	0.946356882
DOK2	-0.58423553
KCNJ11	0.902531316
PEPD	-0.381302711
GADD45GIP1	0.459670027
PLXDC2	-0.620854885
CCNJ	0.341708182
CNN2	-0.42309432
LDB2	-0.665584513
ARL6	0.451350211
EPB41	0.527274768
FAM107B	-0.405864681
MTR	0.36907554
CYSLTR1	-0.693198428
LGR4	0.652038675
HLA.DRB6	-0.8746782
CATSPER2	0.557011857
RDX	0.370587587
IQCB1	0.324375978
ME1	0.55348202
CFI	-0.890985782
RLF	0.317757581
SLA	-0.62501085
UBE4B	0.331870467
SIPA1	-0.367924699
ZDHHC21	0.466247485
CCT3	0.462401518
YPEL5	-0.299877512
NUDT16	-0.33824695
FANCE	0.455740854
PLCB4	0.705199796
RBBP6	0.317723716
WNK2	0.979088298
DTL	0.402136458
RTTN	0.379513076
COMMD9	-0.349884318
ACVR1C	0.68714171
UBA2	0.342193619
TUB	0.680565938
ZNF451	0.367028125
PHTF2	0.509572893
ZNF688	-0.382070455
HDAC2	0.433097321
PSME2	-0.397731196
ST3GAL2	-0.310265837
ANKH	-0.497317451
PNMA3	1.235013588
GKAP1	0.571184475
SPSB4	0.924608307
GPR153	0.657861544
NCK1	0.286012598
EPAS1	-0.493393215
TRPS1	0.457768411
P4HA2	0.583189503
SAMSN1	-0.576170593
HNMT	-0.482644473
GZMA	-1.190420187
SYNGAP1	0.368627165
LRP5	0.39792423
TNFSF14	-0.568523238
TOMM20	0.340768609
NR4A2	0.747010833
BNIPL	0.609488083
ARHGEF6	-0.457592541
SOX8	1.105515164
RIN3	-0.470426132
DDX49	0.334475345
LAMP2	-0.427810312
TINF2	-0.330274481
DENND1C	-0.567136357
DYSF	-0.479524184
FASLG	-0.897710733
TRIM21	-0.474176189
MAN2B1	-0.394995749
BUB1	0.455653
NCF1	-0.76739561
GPBAR1	-0.702000652
SPSB2	-0.47571679
PRICKLE2	-0.670554076
FNBP1	-0.47599957
PAQR3	0.395183224
EXOSC10	0.251060944
PML	-0.324651098
DUSP8	0.605370198
SPATA20	-0.458865362
DIRAS1	0.920848888
LDHB	0.576464257
SUDS3	0.254654733
MTHFD2	0.426609666
ZFP1	0.321098632
HMGCL	-0.317636569
MBTD1	0.287398708
SURF1	-0.314648085
NRP1	-0.525116149
ATP1B3	0.424907327
TMEM60	-0.342445928
TRPV2	-0.812315246
BUB1B	0.414753909
NDST1	-0.308378336
GCLC	0.40421771
ATM	0.363684124
IFITM3	-0.502648778
DLX4	1.199167332
ENOSF1	0.438379684
CFH	-0.641447998
TTYH1	0.573346749
PABPC3	0.574914786
LYZ	-0.940293763
MAPK15	0.926809128
CSRP1	-0.344611834
DCBLD1	-0.334341224
ANK2	0.675848569
NUCKS1	0.41671854
BTBD1	0.318406662
EIF1AX	0.466245955
POLG2	0.294513669
ZNF683	-0.95704503
BRCA2	0.381886624
SCAMP2	-0.260298765
SLC22A18AS	-0.606406262
TEX9	0.514046968
CETN2	-0.323612012
DMBX1	0.994955648
PHC2	-0.228856379
TAPBP	-0.31319756
CTLA4	-0.829541313
PRDM4	-0.270500489
ANAPC5	0.251217885
RASGRP3	-0.454506297
OIP5	0.401865401
CD320	0.466442101
GATA5	0.731210689
RIC8B	0.268505227
SCARB1	0.56666039
NCR3	-0.883390412
RFXAP	0.313537468
SLC7A5	0.644341966
MRPL45	0.348723117
ADK	0.373089309
NAGS	0.509269003
SCYL2	0.306904447
GMNN	0.472702806
FASTK	-0.263990248
RAPH1	0.571313646
ITGA1	-0.43983859
CALCRL	-0.552090807
GATAD2B	0.324342039
DEGS1	0.338489602
DUSP6	-0.536807316
LTF	-0.678559429
CD96	-0.795314665
MORF4L1	0.313471568
AP1B1	-0.301086878
PRSS36	-0.477528192
RALB	-0.33937327
VDAC2	0.280516067
AS3MT	0.732860389
PARD3	0.407704081
ALDH9A1	-0.305029047
TPX2	0.366426853
SLC6A11	0.848455979
DDO	-0.800545176
GRHL3	0.986479713
GAL	1.253692519
FXYD7	0.588156088
MRPL19	0.378125567
TAZ	-0.344915946
NAP1L1	0.391752427
CEP152	0.428553953
ABHD2	-0.383391297
SNCG	-0.734778825
RPS19BP1	-0.380346808
RAB3A	0.485062347
ABHD4	-0.338716376
KIAA1586	0.472199041
LILRA1	-0.726728842
ARHGEF18	0.369412756
IL17RB	0.629684087
TMEM129	-0.325155935
CRYBA2	1.179441626
LHFPL1	-0.826799014
ANGEL2	0.338325602
MTBP	0.451497987
RALA	-0.337663112
SF3B1	0.24618436
TMEM39A	0.303740711
HSF2	0.40140739
GNG3	0.640435963
ARNTL2	-0.614488266
CHAC2	0.517492187
DNMT1	0.332339142
TBC1D2B	-0.355223028
GPR174	-0.826678364
CBFB	0.319749074
SEMA3G	-0.580479435
TRIM2	0.529779509
MTM1	-0.389733733
DCUN1D4	0.337119118
STARD8	-0.421353083
COL13A1	0.81761945
GNAZ	0.814822114
MTRR	0.274147093
TCTEX1D1	-0.832072724
FZD9	0.772634457
GPR84	-0.709502803
SLC41A1	0.294356621
ADAL	0.343088783
SLC33A1	0.308810631
WDFY2	-0.377614021
TBX15	-0.428576939
NDUFS1	0.245046201
PLTP	-0.573797545
ISLR	-1.698587157
GALNT14	1.054597005
HGF	-0.954064728
NUSAP1	0.429080884
HLA.F	-0.578071013
IDUA	-0.466953112
OSBPL2	0.293682082
FNDC8	0.62182322
BAIAP2L2	0.902939059
SPI1	-0.717238832
ZNF524	-0.359648506
ATP6V1E1	-0.379263852
PSMD11	0.264203709
PPIG	0.385650638
SLC9A9	-0.390591931
MAF1	-0.291659125
NOC3L	0.309822074
ACTG2	-1.318751536
SNX17	-0.24677181
LPL	0.720945215
ABLIM3	-0.532691453
IPMK	0.41325389
DGKD	0.269005759
HTR2B	-0.665221211
LIN9	0.373751704
ETV6	-0.335040338
CNNM2	0.389580528
SH2D1A	-0.884696121
ESM1	0.80352946
C3	-1.039571403
NEK1	0.365535435
PARP10	-0.482055246
KIF1A	0.990477857
VASH1	-0.405429304
TBC1D14	-0.364861937
PLAUR	-0.600061342
TOLLIP	-0.215908457
GLMN	0.311102768
TOMM40L	-0.284143769
FOXJ3	0.246788098
CEP72	0.452822438
FAT3	0.871962898
GTPBP3	0.276538682
RANBP6	0.350839342
CST3	-0.798185726
ITPKC	-0.396421187
CEP57	0.336763826
ZAP70	-0.63061858
LYPD5	-0.587288584
CCR2	-0.713671929
SPAG5	0.384620146
RELB	-0.448207056
IFITM1	-0.738488565
SIX3	0.973811698
JAK1	-0.314227236
RPL23	0.716132049
P2RX5	0.636618511
FUT7	-0.677387332
TM4SF18	-0.483032501
CIT	0.371198191
PLCE1	0.404229101
NMT2	0.33885342
ASPHD2	-0.476796622
PDCD4	0.397662798
ZNF608	0.39636005
GPRASP1	0.65516852
GOLGA8A	0.787045184
SLTM	0.256188203
C1orf115	-0.899007892
TRAPPC3	-0.243070477
B3GALT4	-0.453256605
SERPINA1	-0.803449041
CLEC10A	-0.7583594
PTPRC	-0.611253679
RNASEL	-0.329066311
TP53I3	-0.342801667
CAT	-0.325040576
ATP6V1F	-0.355339475
ANKHD1	0.344751933
CASP1	-0.616162232
ALDH1A1	-0.900055016
CPNE7	0.864339543
GOT2	-0.282813661
HSDL2	0.320673115
CD8A	-0.942256037
ABCA5	0.435763018
EPB41L4B	0.667145261
GLRX2	0.344902792
CYFIP1	-0.234668294
HLA.DQA2	-1.053045239
CARD10	-0.416270394
TAS2R4	0.524371189
CAPZB	-0.229589995
SLC1A3	-0.532588185
LRRC55	-0.650672803
TRAF3IP3	-0.59890296
ANPEP	-0.802694791
EOMES	-0.97351924
CD300A	-0.567438868
CXCL9	-1.136926886
GPR171	-0.878038077
COMMD1	-0.258287147
AP2A2	-0.250172478
CMTM3	-0.29953019
CTSZ	-0.566458147
USP48	0.234060991
LAG3	-0.684995532
MOSPD3	-0.26843374
RNASET2	-0.437538478
ACE	-0.407465689
GADD45G	0.61920763
ACSBG2	0.526742899
PRPF39	0.263609544
RHOC	-0.270998714
PDCD1LG2	-0.676490216
OAS2	-0.630326926
TUBE1	0.361167249
MXD1	0.376963215
ITGB3BP	0.331724177
EXO1	0.323574894
CXCL11	-1.077229806
CYB561D2	-0.293496106
NOL7	0.294750023
ZBTB2	0.246651256
TLR2	-0.595215316
RAD23A	0.322774705
ACP2	-0.260111907
ETV5	-0.411038432
RNASE1	-0.598020189
POLE	0.359823975
DLD	0.373968163
RGL1	-0.39601023
SRPX2	-0.672825707
RPL7	0.588336843
LRRC4	-0.491354012
STAT2	-0.329243294
KCNG1	0.754920241
BRAF	0.277316829
B3GAT2	0.538395703
SDK2	0.911855214
CGREF1	0.930780595
MPHOSPH9	0.310407314
ANAPC1	0.292508947
HIGD1B	-0.639305205
UBE2R2	0.214957727
MYL9	-0.52717935
TMEM38A	0.735846236
SLC39A10	0.383495271
LRRC47	0.261582356
CASP10	-0.448825712
LATS1	0.300714055
RILP	-0.433784029
B4GALNT4	1.280339677
ZC3H11A	0.230440632
NAB1	0.35482268
NPTX1	0.659010956
PSME1	-0.318877131
CD3G	-0.773716876
SERPING1	-0.647463652
CAPN14	0.625906918
RANBP2	0.271393749
CLK4	0.333468257
CRYL1	-0.398138449
DYRK1A	0.261332624
TMEM41B	0.296771422
ZDHHC23	0.669656176
MRPL38	0.310518912
SLCO2A1	-0.799201043
EAF2	0.486514706
CHSY1	0.473224127
PGK1	0.435662462
ZNF689	-0.280878121
TCP11L2	0.43933691
TREM2	-0.638839706
PDSS1	0.355702486
CTDSPL	-0.327175614
TMEM115	-0.240608438
SORL1	-0.581087909
